Date,Type,Distance,Duration,Weight,AvgHR,MaxHR,Temperature,OverallPlace,FieldSize,Course,Pace
2016-10-01,Easy,7.3,00:45:20,96.4,123,142,12,NA,NA,NA,00:06:13
2017-07-09,Easy,6.44,00:46:58,NA,NA,NA,NA,NA,NA,NA,00:07:18
2018-03-12,Easy,3.24,00:23:36,104.4,NA,NA,10,NA,NA,NA,00:07:17
2018-06-27,Easy,7.09,00:49:52,103.7,120,153,18,NA,NA,NA,00:07:02
2018-07-03,Easy,7.29,00:49:25,NA,124,161,20,NA,NA,NA,00:06:47
2018-07-05,Easy,8.6,00:57:48,103,116,136,19,NA,NA,NA,00:06:43
2018-07-10,Easy,7.2,00:44:28,NA,NA,NA,20,NA,NA,Vuelta Castrelos,00:06:11
2018-07-14,Easy,7.21,00:47:45,NA,109,150,NA,NA,NA,NA,00:06:37
2018-08-09,Easy,10.1,01:03:39,NA,NA,NA,21,NA,NA,NA,00:06:18
2018-08-12,Long,11.22,01:27:43,NA,NA,NA,18,NA,NA,NA,00:07:49
2018-08-14,Easy,8.11,00:49:57,NA,NA,NA,18,NA,NA,NA,00:06:10
2018-08-16,Default,8.51,00:50:53,NA,NA,NA,19,NA,NA,NA,00:05:59
2018-08-24,Easy,12.02,01:11:59,NA,NA,NA,22,NA,NA,NA,00:05:59
2018-09-03,Long,9.5,01:03:33,99.7,NA,NA,21,NA,NA,NA,00:06:41
2018-09-03,Easy,1.4,00:09:50,NA,NA,NA,20,NA,NA,NA,00:07:01
2018-09-09,Default,5.92,00:34:50,NA,NA,NA,21,NA,NA,NA,00:05:53
2018-09-10,Easy,6.02,00:36:47,NA,164,182,22,NA,NA,NA,00:06:07
2018-09-12,Long,10.59,01:08:32,NA,163,183,NA,NA,NA,NA,00:06:28
2018-09-16,Race,10,00:50:33,99.7,170,194,17,306,409,Xornadas Marisqueiras do Berbes,00:05:03
2018-09-18,Easy,5.83,00:52:21,NA,126,152,17,NA,NA,NA,00:08:59
2018-09-19,Easy,5.73,00:39:42,99,143,162,18,NA,NA,Vuelta Castrelos,00:06:56
2018-09-22,Easy,5.76,00:39:21,NA,153,180,NA,NA,NA,NA,00:06:50
2018-09-24,Easy,9.21,01:00:16,98.7,160,182,26,NA,NA,NA,00:06:33
2018-09-25,Tempo,5,00:32:01,98,148,161,25,NA,NA,NA,00:06:24
2018-09-27,Fartlek,9.2,00:59:38,NA,156,180,28,NA,NA,NA,00:06:29
2018-09-29,Long,14.28,01:34:56,NA,151,175,15,NA,NA,NA,00:06:39
2018-10-01,Easy,11,01:06:32,98.5,157,179,24,NA,NA,NA,00:06:03
2018-10-02,Tempo,6.09,00:37:27,NA,158,183,25,NA,NA,NA,00:06:09
2018-10-04,Fartlek,6.32,00:39:04,NA,150,179,19,NA,NA,Vuelta Castrelos,00:06:11
2018-10-05,treadmill,4.02,00:26:30,NA,167,191,NA,NA,NA,NA,00:06:36
2018-10-06,Long,15.05,01:30:00,NA,163,181,12,NA,NA,NA,00:05:59
2018-10-08,Easy,13.14,01:16:56,NA,158,177,17,NA,NA,NA,00:05:51
2018-10-09,Tempo,5.97,00:36:04,NA,157,188,17,NA,NA,NA,00:06:02
2018-10-12,Interval,7.9,00:57:27,NA,152,176,16,NA,NA,NA,00:07:16
2018-10-14,Long,19.05,01:52:15,NA,156,180,12,NA,NA,NA,00:05:54
2018-10-16,Easy,10.37,00:57:27,95.3,159,180,15,NA,NA,NA,00:05:32
2018-10-19,Easy,8.16,00:46:14,NA,157,175,21,NA,NA,NA,00:05:40
2018-10-21,Easy,2.46,00:17:15,95.7,132,143,19,NA,NA,NA,00:07:01
2018-10-21,Race,21.14,01:45:33,95.7,174,194,19,764,1113,Media Maratón Pontevedra,00:05:00
2018-10-23,Easy,7.18,00:42:16,NA,150,170,19,NA,NA,NA,00:05:53
2018-10-25,Easy,9.19,00:51:04,NA,157,178,20,NA,NA,NA,00:05:33
2018-10-26,Easy,10.13,01:01:00,NA,149,177,18,NA,NA,NA,00:06:01
2018-10-28,Long,16.6,01:40:20,NA,150,171,5,NA,NA,NA,00:06:03
2018-10-30,Easy,10.35,01:00:34,94.3,150,171,8,NA,NA,NA,00:05:51
2018-11-02,Fartlek,8.77,00:52:26,NA,149,176,15,NA,NA,NA,00:05:59
2018-11-03,Long,14.09,01:26:37,93.5,156,183,14,NA,NA,NA,00:06:09
2018-11-06,treadmill,6.32,00:34:38,NA,158,173,NA,NA,NA,NA,00:05:29
2018-11-08,Tempo,10.89,00:59:35,NA,160,182,9,NA,NA,Bucle Troncal-Encarnación,00:05:28
2018-11-10,Tempo,7.22,00:40:08,NA,154,179,14,NA,NA,NA,00:05:34
2018-11-12,Interval,12.4,01:12:00,NA,155,182,9,NA,NA,Vuelta Castrelos,00:05:48
2018-11-14,Long,15.31,01:37:22,NA,151,175,13,NA,NA,NA,00:06:22
2018-11-18,Default,1.41,00:10:38,NA,136,146,NA,NA,NA,NA,00:07:32
2018-11-18,Default,1.14,00:08:11,NA,131,143,NA,NA,NA,NA,00:07:11
2018-11-18,Race,10,00:49:31,93.5,166,193,14,1844,3681,San Martiño,00:04:57
2018-11-19,Easy,6.98,00:42:44,NA,146,171,15,NA,NA,NA,00:06:07
2018-11-26,Easy,9.45,00:51:59,92.7,155,180,12,NA,NA,NA,00:05:30
2018-11-27,Easy,10.04,01:00:13,92,146,174,12,NA,NA,NA,00:06:00
2018-11-28,Easy,7.5,00:43:11,91.6,153,173,12,NA,NA,NA,00:05:45
2018-12-02,Easy,3.9,00:27:02,92.2,134,167,12,NA,NA,NA,00:06:56
2018-12-02,Race,10,00:46:37,92.2,145,185,13,136,235,Trofeo de Pedestrismo Concello de Cangas,00:04:40
2018-12-03,Easy,6.94,00:40:39,NA,151,169,14,NA,NA,NA,00:05:51
2018-12-04,Interval,10.25,00:56:14,NA,163,188,17,NA,NA,NA,00:05:29
2018-12-06,Hill,10.46,01:04:13,NA,145,181,11,NA,NA,NA,00:06:08
2018-12-08,Easy,0.88,00:05:30,91.8,142,153,11,NA,NA,NA,00:06:15
2018-12-08,Race,7,00:32:29,91.8,165,180,8,168,529,Invasión Celeste 7K,00:04:38
2018-12-09,Long,12.68,01:12:22,91.8,149,178,11,NA,NA,NA,00:05:42
2018-12-10,Easy,6.75,00:36:30,91.5,155,178,11,NA,NA,NA,00:05:24
2018-12-17,Tempo,9.94,00:54:28,91,154,177,11,NA,NA,NA,00:05:29
2018-12-23,Default,1.52,00:09:58,NA,150,164,9,NA,NA,NA,00:06:33
2018-12-23,Race,10,00:49:49,91.4,171,203,9,208,334,X Carreira Solidaria do Arenteiro,00:04:59
2018-12-26,Tempo,11.18,01:00:49,91.9,162,193,13,NA,NA,CUVI,00:05:26
2018-12-27,treadmill,5.45,00:30:03,NA,165,181,NA,NA,NA,NA,00:05:31
2018-12-31,Default,1.22,00:08:33,92.2,141,153,NA,NA,NA,NA,00:07:00
2018-12-31,Easy,4.19,00:35:11,NA,137,161,16,NA,NA,NA,00:08:24
2018-12-31,Easy,3.27,00:20:16,NA,158,178,NA,NA,NA,NA,00:06:12
2019-01-02,Tempo,10.01,00:52:18,91.6,161,179,7,NA,NA,Bucle Troncal-Encarnación,00:05:13
2019-01-14,Long,16.63,01:35:32,NA,169,185,9,NA,NA,NA,00:05:45
2019-01-15,Easy,10.01,00:58:22,NA,156,174,10,NA,NA,NA,00:05:50
2019-01-17,Easy,7.47,00:42:18,NA,156,173,9,NA,NA,NA,00:05:40
2019-01-20,Race,21.1,01:44:26,90.6,175,195,12,1472,2483,Meia Maratona Manuela Machado - Viana fica no coraçao,00:04:57
2019-01-22,Easy,10.43,01:03:39,90,144,169,11,NA,NA,NA,00:06:06
2019-01-26,Long,21.53,02:03:35,NA,159,185,8,NA,NA,NA,00:05:44
2019-01-29,Tempo,10.41,00:54:32,NA,161,179,10,NA,NA,Bucle Troncal-Encarnación,00:05:14
2019-02-02,Long,24.02,02:18:23,90.6,163,180,10,NA,NA,NA,00:05:46
2019-02-04,Tempo,10.4,00:55:25,NA,166,187,12,NA,NA,NA,00:05:20
2019-02-05,Easy,12.03,01:07:44,90.4,158,174,12,NA,NA,Vuelta Castrelos,00:05:38
2019-02-07,Easy,7.04,00:39:21,NA,154,179,9,NA,NA,NA,00:05:35
2019-02-10,Easy,4.73,00:27:57,NA,158,179,11,NA,NA,NA,00:05:55
2019-02-10,Race,9.61,00:46:41,90.7,172,183,12,253,446,Calvario 5+5,00:04:51
2019-02-11,Easy,10.49,00:57:40,90.9,153,177,14,NA,NA,NA,00:05:30
2019-02-12,Easy,10,00:57:31,NA,146,170,12,NA,NA,Bucle Troncal-Encarnación,00:05:45
2019-02-15,Tempo,10.32,00:51:23,NA,162,178,13,NA,NA,NA,00:04:59
2019-02-17,Easy,2.69,00:17:29,NA,145,158,12,NA,NA,NA,00:06:30
2019-02-17,Race,21.1,01:43:12,NA,162,185,12,1085,1837,Meda Maratón Atlántica Coruña21,00:04:53
2019-02-19,Easy,10.55,01:02:01,90.8,147,169,10,NA,NA,NA,00:05:53
2019-02-21,Fartlek,12.17,01:09:03,NA,153,180,16,NA,NA,NA,00:05:40
2019-02-22,Easy,5.04,00:29:54,90,149,163,17,NA,NA,NA,00:05:56
2019-02-24,Long,16.09,01:34:14,NA,151,175,11,NA,NA,NA,00:05:51
2019-02-24,Race,9.71,00:51:50,90,164,182,14,232,379,10K de Teis,00:05:20
2019-02-26,Easy,10.73,01:04:10,NA,146,167,15,NA,NA,NA,00:05:59
2019-02-28,Tempo,14.33,01:15:12,NA,159,174,14,NA,NA,NA,00:05:15
2019-03-03,Long,26.8,02:38:21,NA,159,180,14,NA,NA,NA,00:05:55
2019-03-06,Tempo,10.13,00:50:05,NA,160,179,11,NA,NA,NA,00:04:57
2019-03-10,Long,33.53,03:07:53,NA,156,179,11,NA,NA,NA,00:05:36
2019-03-13,Easy,8.08,00:44:36,NA,155,173,11,NA,NA,NA,00:05:31
2019-03-16,Tempo,21.11,01:50:11,NA,164,200,11,NA,NA,NA,00:05:13
2019-03-17,Easy,5.44,00:31:13,90.8,150,174,10,NA,NA,NA,00:05:44
2019-03-17,Race,10,00:44:51,90.8,169,187,11,426,849,10K O Porriño,00:04:29
2019-03-20,Easy,12.41,01:14:23,91.4,148,176,18,NA,NA,NA,00:06:00
2019-03-23,Long,16.72,01:32:56,90.2,160,189,19,NA,NA,NA,00:05:33
2019-03-25,Easy,10.03,00:57:52,NA,147,179,18,NA,NA,NA,00:05:46
2019-03-29,Easy,11.83,01:06:59,90.4,153,175,18,NA,NA,NA,00:05:40
2019-03-31,Long,16.13,01:37:54,NA,143,170,18,NA,NA,NA,00:06:04
2019-04-07,Race,42.2,03:58:14,91,163,186,10,799,1080,Maratón Vig-Bay42,00:05:39
2019-04-13,Easy,8.78,00:55:27,NA,147,178,NA,NA,NA,NA,00:06:19
2019-04-20,Easy,7.35,00:42:32,NA,158,175,NA,NA,NA,NA,00:05:47
2019-04-22,Tempo,7.77,00:42:09,92.1,165,184,13,NA,NA,NA,00:05:25
2019-04-27,Default,1.12,00:08:05,NA,147,164,NA,NA,NA,NA,00:07:13
2019-04-27,Race,9.99,00:45:52,91.5,164,185,17,NA,NA,Happy Go Running (10K CUVI),00:04:35
2019-05-05,Default,2.07,00:13:51,NA,149,173,NA,NA,NA,NA,00:06:41
2019-05-05,Race,9.96,00:50:06,92.9,172,198,14,103,162,10 Km Salceda,00:05:02
2019-05-14,Default,10.24,00:58:34,NA,154,174,24,NA,NA,Bucle Troncal-Encarnación,00:05:43
2019-06-01,Race,10,00:57:48,92.5,175,189,30,137,159,Carreira Festa da Cereixa,00:05:47
2019-06-03,Easy,7.25,00:40:04,NA,158,184,NA,NA,NA,NA,00:05:32
2019-06-08,Race,10,00:47:16,92.5,165,185,17,315,664,"Correndo por Vigo, Nocturna de As Travesas",00:04:44
2019-06-13,Easy,5.07,00:29:48,NA,154,166,13,NA,NA,NA,00:05:53
2019-06-15,Default,1.34,00:10:14,NA,138,159,20,NA,NA,NA,00:07:38
2019-06-15,Race,21.1,01:55:36,93,167,183,20,494,688,Os 21 do Camiño - MM Palas-Melide,00:05:29
2019-06-24,Easy,10.23,00:57:11,NA,162,178,20,NA,NA,NA,00:05:35
2019-07-08,Easy,7.48,00:43:08,94.1,166,185,23,NA,NA,NA,00:05:46
2019-07-16,Easy,6.11,00:33:19,NA,157,181,NA,NA,NA,NA,00:05:27
2019-07-22,Easy,7.41,00:44:47,95.3,156,179,23,NA,NA,NA,00:06:03
2019-07-26,Easy,10.37,01:07:01,NA,149,182,16,NA,NA,NA,00:06:28
2019-07-28,Long,12.67,01:17:09,NA,154,178,14,NA,NA,NA,00:06:05
2019-07-30,Easy,4.63,00:29:20,96.2,146,164,17,NA,NA,NA,00:06:20
2019-08-01,Easy,10.38,00:58:38,NA,157,173,24,NA,NA,NA,00:05:39
2019-08-05,Easy,9.74,00:55:32,NA,170,199,24,NA,NA,NA,00:05:42
2019-08-10,Easy,10.57,01:01:34,NA,156,173,19,NA,NA,NA,00:05:49
2019-08-12,Easy,5.23,00:32:41,NA,156,177,22,NA,NA,NA,00:06:15
2019-08-16,Long,15.25,01:51:45,NA,163,198,20,NA,NA,NA,00:07:20
2019-08-18,Warm up,2.02,00:14:43,NA,144,158,20,NA,NA,NA,00:07:17
2019-08-18,Race,8.73,00:49:09,95.3,170,185,20,30,45,Carrera Popular de Hermisende,00:05:38
2019-08-21,Easy,6.03,00:35:51,95.4,158,185,24,NA,NA,NA,00:05:57
2019-08-25,Warm up,1.11,00:10:38,NA,130,178,NA,NA,NA,NA,00:09:35
2019-08-25,Race,7.84,00:39:16,96.1,164,190,21,NA,NA,Carreira Popular de Randufe,00:05:01
2019-08-27,Interval,9.48,01:03:06,NA,150,184,21,NA,NA,NA,00:06:39
2019-08-31,Tempo,8.64,00:47:23,NA,161,174,17,NA,NA,NA,00:05:29
2019-09-04,Easy,10.05,00:56:19,NA,154,176,22,NA,NA,NA,00:05:36
2019-09-11,Easy,7.37,00:40:30,NA,150,184,24,NA,NA,NA,00:05:30
2019-09-15,Warm up,2.68,00:18:06,96.1,135,149,23,NA,NA,NA,00:06:45
2019-09-15,Race,10,00:47:59,96.1,159,189,24,219,393,10K do Berbés,00:04:48
2019-09-17,Easy,6.32,00:34:51,NA,154,166,19,NA,NA,NA,00:05:31
2019-09-18,Tempo,10,00:55:07,NA,144,158,17,NA,NA,NA,00:05:31
2019-09-20,Easy,8.16,00:43:31,NA,146,179,19,NA,NA,NA,00:05:20
2019-09-22,Long,13.03,01:14:08,95.6,157,175,14,NA,NA,NA,00:05:41
2019-09-24,Interval,9.49,00:56:31,NA,149,171,16,NA,NA,NA,00:05:57
2019-09-26,Tempo,9.17,00:49:52,NA,157,179,19,NA,NA,NA,00:05:26
2019-09-29,Warm up,2.27,00:16:11,NA,131,166,15,NA,NA,NA,00:07:08
2019-09-29,Race,15,01:12:40,94.5,154,178,15,268,494,15K do Atlántico,00:04:51
2019-10-01,Interval,10.89,01:10:01,NA,147,192,17,NA,NA,NA,00:06:26
2019-10-02,Easy,6.05,00:32:59,93.9,159,176,21,NA,NA,NA,00:05:27
2019-10-03,Tempo,10.07,00:55:14,NA,166,188,17,NA,NA,NA,00:05:29
2019-10-06,Long,15.7,01:31:39,NA,159,184,18,NA,NA,NA,00:05:50
2019-10-08,Fartlek,10.76,00:57:12,NA,144,161,17,NA,NA,NA,00:05:19
2019-10-09,Tempo,9.23,00:47:19,NA,166,189,16,NA,NA,NA,00:05:08
2019-10-11,Interval,12.63,01:24:54,NA,144,175,19,NA,NA,NA,00:06:43
2019-10-12,Long,13.02,01:14:56,NA,157,171,NA,NA,NA,NA,00:05:45
2019-10-18,Warm up,8.57,00:48:44,NA,157,179,17,NA,NA,NA,00:05:41
2019-10-20,Warm up,1.61,00:10:00,NA,139,156,9,NA,NA,NA,00:06:13
2019-10-20,Race,21.1,01:47:58,95.5,178,193,10,755,957,Media Maratón Pontevedra,00:05:07
2019-10-26,Warm up,1.48,00:09:01,NA,139,156,17,NA,NA,NA,00:06:06
2019-10-26,Race,14.35,01:25:15,95.6,169,193,17,188,282,Urban Trail Night Eurocidade,00:05:56
2019-11-08,Easy,9.76,00:58:07,NA,162,181,11,NA,NA,NA,00:05:57
2019-11-11,Tempo,8.44,00:46:45,95.9,159,179,12,NA,NA,NA,00:05:32
2019-11-13,Easy,11.05,01:03:10,NA,158,179,14,NA,NA,NA,00:05:43
2019-11-17,Warm up,1.24,00:07:50,NA,142,151,11,NA,NA,NA,00:06:19
2019-11-17,Race,10,00:47:42,95.6,170,193,11,1054,2934,San Martiño,00:04:46
2019-11-19,Easy,6.88,00:38:09,NA,159,182,12,NA,NA,NA,00:05:33
2019-11-21,Default,8.01,00:43:28,NA,154,173,12,NA,NA,NA,00:05:26
2019-11-26,Interval,8.62,00:58:25,NA,152,175,14,NA,NA,NA,00:06:47
2019-11-29,Warm up,1.6,00:08:46,NA,148,159,14,NA,NA,NA,00:05:29
2019-11-29,Race,5.2,00:24:31,96.9,159,184,14,NA,NA,Carrera Popular de Santa Bárbara (ETSI Minas),00:04:43
2019-11-30,Warm up,0.74,00:04:51,NA,139,151,11,NA,NA,NA,00:06:33
2019-11-30,Race,6.13,00:29:51,96.7,159,184,11,116,168,Carreira Solidaria Nocturna de Bembrive,00:04:52
2019-12-01,Warm up,2.49,00:14:05,NA,159,167,11,NA,NA,NA,00:05:39
2019-12-01,Race,10.02,00:49:22,96.2,170,186,12,153,219,Trofeo de Pedestrismo Concello de Cangas,00:04:56
2019-12-03,Easy,6.86,00:37:54,NA,158,175,NA,NA,NA,NA,00:05:31
2019-12-08,Race,7,00:34:18,96.4,155,182,11,124,336,Invasión Celeste 7K,00:04:54
